Synthetic100-2	1.336	[1.109,1.702]
Synthetic100-4	1.734	[1.397,2.285]
Synthetic100-3	1.515	[1.236,2.252]
RALIC-5	1.249	[1.13,1.381]
Synthetic30-3	1.46	[1.199,2.024]
RALIC-4	1.262	[1.182,1.364]
Synthetic30-4	1.409	[1.155,1.75]
Synthetic50-5	1.769	[1.404,2.112]
Synthetic100-5	1.775	[1.431,2.344]
RALIC-3	1.233	[1.18,1.29]
Synthetic30-5	1.429	[1.136,1.695]
RALIC-2	1.224	[1.149,1.285]
WordProcessing-5	1.022	[0.995,1.037]
Synthetic50-2	1.473	[1.166,2.415]
WordProcessing-4	1.051	[1.03,1.064]
Synthetic50-4	1.683	[1.392,2.236]
Synthetic200-5	1.742	[1.409,2.372]
Synthetic30-2	1.386	[1.19,1.902]
Synthetic50-3	1.667	[1.3,2.329]
Synthetic200-4	1.574	[1.323,2.058]
Synthetic200-3	1.443	[1.192,1.73]
Synthetic200-2	1.27	[1.094,1.562]
WordProcessing-3	1.041	[1.014,1.062]
WordProcessing-2	1.002	[0.957,1.043]
RPlanner-4	1.059	[1.04,1.09]
RPlanner-3	1.075	[1.052,1.102]
RPlanner-2	1.05	[1.021,1.077]
RPlanner-5	1.088	[1.055,1.145]
COUNCIL-2	1.299	[1.233,1.357]
COUNCIL-3	1.355	[1.278,1.488]
COUNCIL-4	1.376	[1.237,1.686]
COUNCIL-5	1.451	[1.355,1.607]
