Synthetic100-2	1.079	[1.036,1.124]
Synthetic100-4	1.223	[1.145,1.309]
Synthetic100-3	1.144	[1.074,1.249]
RALIC-5	1.081	[1.008,1.161]
Synthetic30-3	1.088	[1.04,1.129]
RALIC-4	1.081	[1.032,1.141]
Synthetic30-4	1.12	[1.076,1.17]
Synthetic50-5	1.185	[1.104,1.324]
Synthetic100-5	1.256	[1.152,1.353]
RALIC-3	1.067	[1.013,1.157]
Synthetic30-5	1.161	[1.117,1.207]
RALIC-2	1.08	[1.037,1.161]
WordProcessing-5	1.036	[1.01,1.042]
Synthetic50-2	1.018	[0.999,1.062]
WordProcessing-4	1.034	[1.006,1.04]
Synthetic50-4	1.146	[1.075,1.261]
Synthetic200-5	1.353	[1.217,1.611]
Synthetic30-2	1.017	[0.992,1.057]
Synthetic50-3	1.075	[1.02,1.128]
Synthetic200-4	1.294	[1.143,1.5]
Synthetic200-3	1.228	[1.087,1.362]
Synthetic200-2	1.165	[1.082,1.291]
WordProcessing-3	1.027	[0.993,1.054]
WordProcessing-2	0.986	[0.945,1.039]
RPlanner-4	1.069	[1.028,1.1]
RPlanner-3	1.052	[1.022,1.081]
RPlanner-2	1.025	[0.978,1.065]
RPlanner-5	1.08	[1.051,1.115]
COUNCIL-2	1.049	[1.014,1.078]
COUNCIL-3	1.119	[1.072,1.171]
COUNCIL-4	1.153	[1.045,1.259]
COUNCIL-5	1.165	[1.097,1.252]
