Synthetic100-2	1.32	[1.163,1.787]
Synthetic100-4	1.799	[1.493,2.192]
Synthetic100-3	1.565	[1.317,2.286]
RALIC-5	1.039	[0.949,1.093]
Synthetic30-3	1.374	[1.103,1.732]
RALIC-4	1.062	[0.998,1.097]
Synthetic30-4	1.346	[1.141,1.654]
Synthetic50-5	1.612	[1.38,1.966]
Synthetic100-5	1.69	[1.441,2.496]
RALIC-3	1.081	[1.03,1.124]
Synthetic30-5	1.277	[1.126,1.571]
RALIC-2	1.097	[1.048,1.17]
WordProcessing-5	1.034	[1.007,1.041]
Synthetic50-2	1.455	[1.077,1.991]
WordProcessing-4	1.062	[1.035,1.069]
Synthetic50-4	1.642	[1.382,2.041]
Synthetic200-5	1.803	[1.352,2.275]
Synthetic30-2	1.182	[1.098,1.623]
Synthetic50-3	1.614	[1.259,2.249]
Synthetic200-4	1.585	[1.395,1.876]
Synthetic200-3	1.416	[1.209,1.874]
Synthetic200-2	1.298	[1.11,1.511]
WordProcessing-3	1.049	[1.011,1.068]
WordProcessing-2	0.997	[0.957,1.043]
RPlanner-4	1.056	[1.037,1.082]
RPlanner-3	1.077	[1.051,1.115]
RPlanner-2	1.051	[0.998,1.121]
RPlanner-5	1.07	[1.035,1.093]
COUNCIL-2	1.214	[1.173,1.253]
COUNCIL-3	1.216	[1.171,1.295]
COUNCIL-4	1.254	[1.154,1.407]
COUNCIL-5	1.307	[1.18,1.47]
