Synthetic100-2	1.04	[1.026,1.06]
Synthetic100-4	1.09	[1.058,1.131]
Synthetic100-3	1.067	[1.032,1.107]
RALIC-5	0.985	[0.913,1.026]
Synthetic30-3	1.05	[1.024,1.075]
RALIC-4	0.992	[0.939,1.025]
Synthetic30-4	1.072	[1.039,1.121]
Synthetic50-5	1.083	[1.044,1.129]
Synthetic100-5	1.104	[1.045,1.15]
RALIC-3	1.004	[0.962,1.032]
Synthetic30-5	1.1	[1.055,1.139]
RALIC-2	1.022	[1.0,1.052]
WordProcessing-5	1.018	[0.992,1.025]
Synthetic50-2	1.049	[1.045,1.055]
WordProcessing-4	1.046	[1.017,1.051]
Synthetic50-4	1.063	[1.018,1.099]
Synthetic200-5	1.168	[1.097,1.437]
Synthetic30-2	1.015	[0.992,1.044]
Synthetic50-3	1.039	[1.022,1.069]
Synthetic200-4	1.134	[1.054,1.296]
Synthetic200-3	1.095	[1.034,1.184]
Synthetic200-2	1.096	[1.034,1.907]
WordProcessing-3	1.033	[0.997,1.049]
WordProcessing-2	0.985	[0.945,1.03]
RPlanner-4	1.03	[1.015,1.049]
RPlanner-3	1.035	[1.015,1.055]
RPlanner-2	1.006	[0.961,1.046]
RPlanner-5	1.044	[1.013,1.065]
COUNCIL-2	1.069	[1.042,1.076]
COUNCIL-3	1.095	[1.072,1.117]
COUNCIL-4	1.068	[1.023,1.103]
COUNCIL-5	1.055	[1.028,1.097]
