,Effort,,Value,,
Work Item,Mean,SD,Mean,SD,Precedence
A,3.971,0.193,2.736,0.475,"1,2"
B,4.566,0.143,3.438,0.488,"1,2"
C,3.492,0.322,3.095,0.423,"A,3"
D,3.176,0.292,3.379,0.672,B
E,4.026,0.322,3.528,0.401,"1,2"
F,4.453,0.237,3.172,0.587,"1,2,3"
G,3.568,0.251,3.448,0.512,
H,3.823,0.309,2.992,0.818,3
I,3.332,0.156,3.345,0.516,4
J,3.332,0.157,3.7,0.524,"2,4"
K,3.551,0.192,3.919,0.411,"1,4"
L,4.241,0.202,3.986,0.64,5
M,3.827,0.317,3.743,0.505,5
N,4.306,0.191,2.744,0.596,3
O,3.568,0.251,3.426,0.469,1
P,3.498,0.294,2.7,0.548,N
Q,3.522,0.133,3.063,0.467,
R,4.019,0.163,2.581,0.623,
S,3.306,0.17,2.231,0.775,
1,3.819,0.198,0,0,
2,3.551,0.192,0,0,
3,4.284,0.258,0,0,
4,3.415,0.213,0,0,
5,3.853,0.164,0,0,
