Item,Effort,,Value,,Precursor
A,5.094,0.173,3.622,0.585,
B,4.533,0.227,3.074,0.792,"A,H"
C,4.645,0.281,2.884,0.447,
D,4.961,0.187,3.799,0.748,O
E,4.777,0.341,3.469,0.459,
F,5.169,0.134,2.838,0.775,
G,4.652,0.183,2.899,0.708,
H,4.912,0.211,3.041,0.581,"AD,I"
I,4.872,0.179,3.555,0.737,
J,5.006,0.165,3.951,0.804,
K,4.431,0.249,3.669,0.424,S
L,5.069,0.311,2.843,0.752,
M,4.775,0.202,2.759,0.519,"AD,T"
N,4.762,0.138,2.965,0.508,
O,4.292,0.195,2.874,0.734,
P,4.416,0.222,2.827,0.804,
Q,5.022,0.275,2.983,0.461,
R,4.877,0.063,2.795,0.546,
S,4.283,0.078,3.467,0.482,T
T,5.087,0.287,3.081,0.496,
U,4.405,0.324,2.841,0.818,
V,4.885,0.151,3.638,0.518,
W,4.293,0.292,3.276,0.688,
X,4.896,0.089,2.911,0.576,R
Y,4.730,0.301,2.913,0.593,
Z,4.625,0.119,2.805,0.528,
AB,5.019,0.186,3.899,0.766,
AC,4.314,0.180,3.103,0.624,
AD,4.299,0.188,3.499,0.563,
AE,5.142,0.112,3.656,0.571,P
AF,4.933,0.067,3.266,0.773,W
AG,5.137,0.064,2.808,0.417,
AH,5.090,0.267,3.398,0.628,
AI,4.301,0.136,3.139,0.410,
AJ,4.353,0.267,3.258,0.415,
AK,4.796,0.243,3.372,0.595,
AL,4.514,0.107,3.352,0.625,AB
AM,4.340,0.125,3.023,0.435,
AN,4.947,0.204,3.974,0.688,
AO,4.435,0.338,3.007,0.500,
AP,4.652,0.054,2.841,0.420,
AQ,4.300,0.345,2.956,0.665,
AR,4.986,0.186,3.195,0.743,V
AS,4.597,0.203,3.724,0.468,
AT,5.135,0.202,3.947,0.692,
AU,4.938,0.257,3.550,0.645,
AV,4.552,0.138,3.412,0.427,AD
AW,5.067,0.146,3.514,0.624,
AX,4.784,0.328,3.297,0.670,
AY,4.618,0.338,3.943,0.674,
