,,,VALUE,,,,,,,,,,EFFORT,,,,
,Work Item,Lower Limit,Lower Quartile,Median,Upper Quartile,Upper Limit,mean,sd,,Work Item,Lower Limit,Lower Quartile,Median,Upper Quartile,Upper Limit,mean,sd
View council bills,A,0,10,18,22,25,2.736,0.475,,1,30,40,45,55,60,3.819,0.198
Apply for council tax reduction,B,0,20,37,45,50,3.438,0.488,,2,25,30,35,40,50,3.551,0.192
Pay council tax,C,0,15,25,30,35,3.095,0.423,,3,50,55,75,90,100,4.284,0.258
View council tax reduction claim,D,0,16,35,50,60,3.379,0.672,,4,20,25,32,35,40,3.415,0.213
Report house move,E,0,25,35,50,55,3.528,0.401,,5,35,45,50,55,60,3.853,0.164
apply for parking permit,F,0,15,25,40,50,3.172,0.587,,A,30,45,55,60,70,3.971,0.193
Buy visitor parking permit,G,0,20,35,45,60,3.448,0.512,,B,80,85,95,110,120,4.566,0.143
Pay parking and traffic fine,H,0,10,30,35,40,2.992,0.818,,C,20,25,33,45,50,3.492,0.322
Look up rubbish collection day,I,0,18,35,42,45,3.345,0.516,,D,15,18,25,30,35,3.176,0.292
Report missed rubbish collection,J,0,25,47,60,70,3.7,0.524,,E,30,45,55,75,90,4.026,0.322
Order recycling bin,K,0,35,55,70,80,3.919,0.411,,F,50,70,90,100,120,4.453,0.237
Submit housing application,L,0,30,70,85,100,3.986,0.64,,G,20,30,35,45,50,3.568,0.251
Report accommodation problem,M,0,27,43,60,80,3.743,0.505,,H,30,35,45,60,75,3.823,0.309
Submit planning application,N,0,9,19,23,30,2.744,0.596,,I,20,25,28,32,35,3.332,0.156
Comment on planning application,O,0,20,36,43,50,3.426,0.469,,J,15,25,28,32,35,3.332,0.157
Create application alert,P,0,10,15,25,30,2.7,0.548,,K,25,30,35,40,50,3.551,0.192
View planning applications,Q,0,15,22,30,45,3.063,0.467,,L,40,60,70,80,100,4.241,0.202
Contest parking fines,R,0,8,14,22,30,2.581,0.623,,M,30,35,45,60,80,3.827,0.317
set up council tax direct debit,S,0,5,10,18,25,2.231,0.775,,N,50,65,75,85,110,4.306,0.191
,,,,,,,,,,O,20,30,35,45,50,3.568,0.251
,,,,,,,,,,P,20,25,35,40,50,3.498,0.294
Sign up and login,,,,,,,,,,Q,25,30,35,37,40,3.522,0.133
Interface to Residents Repository,,,,,,,,,,R,40,50,55,65,70,4.019,0.163
Payment Processor,,,,,,,,,,S,20,23,25,30,35,3.306,0.17
Interface to Rubbish Collection System,,,,,,,,,,,,,,,,,
Interface to Council Housing Repository,,,,,,,,,,,,,,,,,
