Synthetic100-2	1.087	[1.044,1.127]
Synthetic100-4	1.222	[1.123,1.321]
Synthetic100-3	1.163	[1.097,1.26]
RALIC-5	1.081	[1.014,1.166]
Synthetic30-3	1.079	[1.04,1.126]
RALIC-4	1.081	[1.031,1.145]
Synthetic30-4	1.124	[1.059,1.174]
Synthetic50-5	1.202	[1.136,1.271]
Synthetic100-5	1.257	[1.176,1.353]
RALIC-3	1.076	[1.02,1.151]
Synthetic30-5	1.15	[1.112,1.23]
RALIC-2	1.082	[1.038,1.135]
WordProcessing-5	1.035	[1.012,1.065]
Synthetic50-2	1.022	[0.994,1.058]
WordProcessing-4	1.034	[1.024,1.037]
Synthetic50-4	1.135	[1.075,1.204]
Synthetic200-5	1.358	[1.184,1.541]
Synthetic30-2	1.018	[1.002,1.052]
Synthetic50-3	1.078	[1.029,1.121]
Synthetic200-4	1.334	[1.172,1.547]
Synthetic200-3	1.236	[1.126,1.312]
Synthetic200-2	1.158	[1.088,1.251]
WordProcessing-3	1.023	[0.99,1.05]
WordProcessing-2	0.989	[0.937,1.026]
RPlanner-4	1.059	[1.03,1.107]
RPlanner-3	1.049	[1.013,1.077]
RPlanner-2	1.01	[0.926,1.061]
RPlanner-5	1.076	[1.046,1.116]
COUNCIL-2	1.048	[0.998,1.118]
COUNCIL-3	1.118	[1.045,1.326]
COUNCIL-4	1.153	[1.095,1.268]
COUNCIL-5	1.163	[1.109,1.235]
