Synthetic100-2	1.089	[1.04,1.137]
Synthetic100-4	1.323	[1.208,1.437]
Synthetic100-3	1.205	[1.135,1.309]
RALIC-5	1.08	[1.007,1.151]
Synthetic30-3	1.135	[1.085,1.204]
RALIC-4	1.085	[1.017,1.136]
Synthetic30-4	1.156	[1.094,1.232]
Synthetic50-5	1.304	[1.2,1.437]
Synthetic100-5	1.392	[1.284,1.522]
RALIC-3	1.078	[1.02,1.141]
Synthetic30-5	1.162	[1.117,1.265]
RALIC-2	1.103	[1.042,1.195]
WordProcessing-5	1.032	[1.008,1.04]
Synthetic50-2	1.149	[1.071,1.303]
WordProcessing-4	1.063	[1.054,1.067]
Synthetic50-4	1.279	[1.164,1.415]
Synthetic200-5	1.379	[1.243,1.496]
Synthetic30-2	1.151	[1.09,1.666]
Synthetic50-3	1.232	[1.1,1.356]
Synthetic200-4	1.278	[1.207,1.38]
Synthetic200-3	1.173	[1.103,1.242]
Synthetic200-2	1.115	[1.064,1.223]
WordProcessing-3	1.044	[1.015,1.063]
WordProcessing-2	1.001	[0.951,1.047]
RPlanner-4	1.059	[1.034,1.09]
RPlanner-3	1.069	[1.051,1.099]
RPlanner-2	1.046	[0.965,1.103]
RPlanner-5	1.073	[1.055,1.095]
COUNCIL-2	1.223	[1.186,1.264]
COUNCIL-3	1.241	[1.197,1.329]
COUNCIL-4	1.278	[1.163,1.757]
COUNCIL-5	1.337	[1.177,1.481]
