Synthetic100-2	1.072	[1.039,1.115]
Synthetic100-4	1.2	[1.092,1.318]
Synthetic100-3	1.146	[1.092,1.219]
RALIC-5	1.056	[1.004,1.093]
Synthetic30-3	1.078	[1.033,1.112]
RALIC-4	1.07	[1.012,1.108]
Synthetic30-4	1.111	[1.063,1.15]
Synthetic50-5	1.168	[1.102,1.264]
Synthetic100-5	1.247	[1.155,1.335]
RALIC-3	1.062	[0.98,1.117]
Synthetic30-5	1.143	[1.11,1.183]
RALIC-2	1.074	[1.033,1.122]
WordProcessing-5	1.017	[0.992,1.024]
Synthetic50-2	1.049	[1.038,1.076]
WordProcessing-4	1.045	[1.035,1.049]
Synthetic50-4	1.132	[1.046,1.252]
Synthetic200-5	1.374	[1.246,1.691]
Synthetic30-2	1.032	[1.011,1.093]
Synthetic50-3	1.075	[1.045,1.119]
Synthetic200-4	1.321	[1.171,1.921]
Synthetic200-3	1.211	[1.116,1.291]
Synthetic200-2	1.148	[1.071,1.226]
WordProcessing-3	1.031	[0.996,1.048]
WordProcessing-2	1.003	[0.941,1.047]
RPlanner-4	1.052	[1.024,1.081]
RPlanner-3	1.055	[1.034,1.088]
RPlanner-2	1.019	[0.946,1.068]
RPlanner-5	1.06	[1.029,1.082]
COUNCIL-2	1.059	[1.029,1.068]
COUNCIL-3	1.123	[1.065,1.229]
COUNCIL-4	1.114	[1.072,1.169]
COUNCIL-5	1.105	[1.051,1.194]
