Synthetic100-2	1.083	[1.045,1.138]
Synthetic100-4	1.322	[1.198,1.428]
Synthetic100-3	1.195	[1.1,1.329]
RALIC-5	1.155	[1.073,1.259]
Synthetic30-3	1.103	[1.057,1.189]
RALIC-4	1.156	[1.108,1.252]
Synthetic30-4	1.148	[1.094,1.282]
Synthetic50-5	1.294	[1.208,1.395]
Synthetic100-5	1.379	[1.292,1.513]
RALIC-3	1.142	[1.079,1.223]
Synthetic30-5	1.16	[1.104,1.222]
RALIC-2	1.118	[1.081,1.164]
WordProcessing-5	1.026	[1.001,1.038]
Synthetic50-2	1.143	[1.028,1.252]
WordProcessing-4	1.054	[1.043,1.063]
Synthetic50-4	1.294	[1.224,1.447]
Synthetic200-5	1.379	[1.227,1.491]
Synthetic30-2	1.11	[1.035,1.246]
Synthetic50-3	1.247	[1.119,1.424]
Synthetic200-4	1.256	[1.177,1.341]
Synthetic200-3	1.186	[1.112,1.261]
Synthetic200-2	1.11	[1.048,1.178]
WordProcessing-3	1.04	[1.01,1.062]
WordProcessing-2	1.006	[0.964,1.049]
RPlanner-4	1.057	[1.035,1.076]
RPlanner-3	1.076	[1.049,1.11]
RPlanner-2	1.055	[0.983,1.11]
RPlanner-5	1.089	[1.053,1.134]
COUNCIL-2	1.268	[1.2,1.34]
COUNCIL-3	1.304	[1.216,1.552]
COUNCIL-4	1.324	[1.187,1.513]
COUNCIL-5	1.473	[1.299,1.682]
