Item,Effort,,Value,,Precursor
A,4.374,0.142,3.786,0.532,
B,5.034,0.222,3.776,0.804,"A,H"
C,4.698,0.218,2.947,0.692,
D,5.059,0.075,3.869,0.702,O
E,4.344,0.088,3.541,0.669,
F,5.073,0.096,3.325,0.647,
G,4.403,0.291,3.257,0.751,
H,5.096,0.150,3.865,0.449,"AD,I"
I,5.089,0.071,3.603,0.478,
J,4.461,0.185,3.563,0.680,
K,5.046,0.052,3.852,0.678,S
L,5.137,0.055,3.587,0.711,
M,4.629,0.300,3.497,0.733,"AD,T"
N,4.554,0.187,3.002,0.791,
O,4.345,0.143,2.890,0.573,
P,4.822,0.326,3.751,0.790,
Q,4.396,0.221,3.162,0.598,
R,4.810,0.225,2.859,0.785,
S,5.056,0.098,3.640,0.551,T
T,4.427,0.247,3.777,0.674,
U,4.320,0.287,3.127,0.740,
V,4.979,0.240,2.740,0.532,
W,4.323,0.088,3.090,0.672,
X,5.144,0.245,2.975,0.579,R
Y,4.834,0.186,3.843,0.478,
Z,4.397,0.161,3.269,0.595,
AB,4.986,0.194,3.126,0.689,
AC,5.017,0.112,3.367,0.660,
AD,4.912,0.141,3.806,0.558,
AE,4.576,0.066,3.516,0.575,P
