ID,Effort Mean,Effort SD,Value mean,Value SD,Precedence
File-1,4.45,0.18,4.6,0.7,"File-4,File-5,File-6,File-7,File-8,File-9,File-10,File-11,View-2,View-3,View-4,View-5,Tools-1,Tools-2,File-12"
File-2,4.59,0.18,4.6,0.7,"File-3,File-6,File-7,File-8,File-9,File-10,File-11,Edit-1,Edit-2,View-2,View-3,View-4,View-5,Insert-1,Insert-2,Insert-3"
File-3,2.51,0.29,4.28,0.7,File-12
File-4,4.4,0.19,4.6,0.7,File-12
File-5,4.44,0.18,3.78,0.7,File-12
File-6,4.65,0.19,3.83,0.71,File-12
File-7,3.2,0.19,3.6,0.71,"File-10,File-12"
File-8,4.21,0.19,4.49,0.7,File-9
File-9,4,0.19,4.6,0.7,File-12
File-10,4.35,0.18,4.04,0.7,File-12
File-11,3.2,0.19,3.63,0.69,File-12
File-12,2.73,0.19,4.37,0.71,
Edit-1,3.49,0.18,4.4,0.7,Edit-2
Edit-2,3.49,0.18,4.18,0.71,
Edit-3,3.49,0.18,4.41,0.71,
Edit-4,2.98,0.17,4.41,0.71,
Edit-5,3.39,0.2,4.25,0.7,
Edit-6,4.4,0.19,3.65,0.72,
Edit-7,3.39,0.2,3.38,0.67,Edit-5
Edit-8,3.2,0.19,4.31,0.71,Edit-9
Edit-9,3.05,0.18,4.31,0.71,
Edit-10,3.05,0.18,4.26,0.68,
View-1,2.73,0.19,3.83,0.71,
View-2,2.83,0.21,4.11,0.7,File-9
View-3,2.83,0.21,3.49,0.71,
View-4,3.49,0.18,3.53,0.7,
View-5,2.45,0.18,4.26,0.71,"View-3,View-2"
Insert-1,2.45,0.18,4.15,0.71,"Insert-4,Insert-5"
Insert-2,2.45,0.18,4.34,0.71,"Insert-5,Insert-4"
Insert-3,2.45,0.18,4.23,0.71,
Insert-4,2.07,0.16,3.94,0.71,
Insert-5,1.92,0.16,4.04,0.7,
Format-1,2.83,0.21,4.37,0.71,"Format-5,Format-2,Format-3,Format-4"
Format-2,3.39,0.2,4.26,0.71,Format-5
Format-3,3.2,0.19,4.26,0.71,Format-5
Format-4,3.2,0.19,3.73,0.7,Format-5
Format-5,3.2,0.19,2.85,0.7,
Tools-1,3.85,0.18,4.47,0.7,Tools-2
Tools-2,3.9,0.18,4.11,0.7,Tools-3
Tools-3,3.05,0.18,2.92,0.67,
Tools-4,4.64,0.18,4.06,0.72,
Tools-5,4.37,0.19,3.6,0.71,
Tools-6,2.83,0.21,3.47,0.69,"Tools-1,Tools-2,Tools-3,Tools-4,Tools-5"
Data-1,3.2,0.19,4.23,0.71,
Data-2,2.98,0.17,4.26,0.71,
Data-3,3.49,0.18,4.26,0.71,
Data-4,3.39,0.2,4.06,0.72,
Data-5,4.23,0.19,3.9,0.71,
Help-1,2.51,0.29,4.11,0.7,
Help-2,2.2,0.17,4.02,0.71,
