ID,Effort Mean,Effort SD,Value mean,Value SD,Precedence
a.1.1,5.98,0.156,3.64,0.71,
a.1.2,5.29,0.156,0,0,
a.1.3,4.99,0.21,0,0,
a.1.4,4.82,0.12,0,0,
a.2,6.1,0.138,3.16,0.73,
a.3.1,5,0.03,4.28,0.7,
a.3.2,5.65,0.14,4.16,0.77,
a.3.3,5.29,0.156,4.4,0.7,
a.3.4,4.3,0.2,4.2,0.71,
a.3.5,4.3,0.2,0,0,
a.3.6,2.43,0.19,3.91,0.71,
b.1.1,2.2,0.11,0,0,
b.1.2,2.43,0.19,0,0,
b.1.3,2.2,0.11,0,0,
b.1.4,2.4,0.22,2.2,0.66,
b.1.5,3.21,0.124,0,0,
b.1.6,2.43,0.19,0,0,
b.1.7,2.2,0.11,0,0,
b.1.8,4.24,0.18,0,0,
b.1.9,2.69,0.21,0,0,
b.2.1,5.65,0.14,0,0,
b.3.1,4.74,0.14,1.39,0.76,
b.3.2,3.54,0.18,3.73,0.7,
b.3.3,4.3,0.2,0,0,
b.3.4,3.52,0.15,2.26,0.71,
b.4,5.39,0.08,1.39,0.76,
b.5,2.69,0.21,0,0,
b.6.1,2.43,0.19,0,0,
b.7,3.99,0.17,1.39,0.76,
c.1.1,3.5,0.11,2.7,0.68,
c.1.2,4.8,0.12,0,0,
c.2.1,2.4,0.22,2.7,0.68,
c.2.2,3.11,0.114,0,0,
c.2.3,4.22,0.15,0,0,
c.2.4,2.43,0.19,0,0,
c.2.5,2.43,0.19,0,0,
c.2.6,2.43,0.19,0,0,
c.2.7,2.43,0.19,2.95,0.71,
c.2.8,2.2,0.11,0,0,
c.2.9,2.43,0.19,2.7,0.68,
c.2.10,2.43,0.19,3.19,0.68,
c.3.1,2.4,0.22,4.12,0.71,
c.3.2,5.38,0.113,0,0,
c.4.1,3.99,0.17,3.28,0.7,
c.4.2,2.2,0.11,3.36,0.71,
c.4.3,2.43,0.19,3.04,0.7,
c.4.4,2.4,0.22,3.28,0.7,
c.4.5,3.21,0.124,0,0,
c.4.6,3.2,0.23,0,0,
c.5.1,4.86,0.14,3.74,0.71,
d.1.1,5.85,0.09,4.01,0.7,
d.1.2,4.54,0.164,3.49,0.71,
d.2.1,4.24,0.18,3.04,0.7,
d.2.2,5.25,0.146,0,0,
d.2.3,5.25,0.146,0,0,
d.3,5.25,0.146,3.04,0.7,
d.4.1,3.54,0.18,2.93,0.69,
d.5.1,4.4,0.132,0,0,
d.5.2,4.4,0.132,3.91,0.71,
d.5.3,4.99,0.21,3.74,0.71,
d.5.4,4.4,0.132,0,0,
