Item,Effort,Value,Precursor
A,5,10,
B,6,10,"A,H"
C,9,15,
D,10,18,O
E,8,20,
F,3,5,
G,11,10,
H,8,0,"AD,I"
I,12,25,
J,6,12,
K,9,10,S
L,4,8,
M,10,15,"AD,T"
N,9,14,
O,3,13,
P,6,12,
Q,9,8,
R,4,5,
S,15,9,T
T,6,10,
U,2,8,
V,8,4,
W,9,0,
X,14,7,R
Y,11,8,
Z,7,4,
AB,8,9,
AC,4,3,
AD,7,0,
AE,10,8,P
AF,4,13,W
AG,5,12,
AH,7,8,
AI,3,5,
AJ,9,9,
AK,8,10,
AL,6,8,AB
AM,9,4,
AN,3,0,
AO,7,7,
AP,9,8,
AQ,10,4,
AR,7,9,V
AS,9,3,
AT,15,0,
AU,6,8,
AV,8,3,AD
AW,9,2,
AX,8,7,
AY,9,9,
AZ,5,10,
BA,6,10,"A,H"
BB,9,15,
BD,10,18,O
BE,8,20,
BF,3,5,AQ
BG,11,10,
BH,8,0,"AD,I"
BI,12,25,
BJ,6,12,
BK,9,10,AR
BL,4,8,
BM,10,15,"AT,S"
BN,9,14,
BO,3,13,
BP,6,12,
BQ,9,8,
BR,4,5,
BS,15,9,T
BT,6,10,
BU,2,8,
BV,8,4,
BW,9,0,
BX,14,7,R
BY,11,8,
BZ,7,4,
CA,8,9,
CB,4,3,
CC,7,0,
CD,10,8,P
CE,4,13,W
CF,5,12,
CG,7,8,
CH,3,5,
CI,9,9,
CJ,8,10,
CK,6,8,BB
CL,9,4,
CM,3,0,CC
CN,7,7,
CO,9,8,
CP,10,4,
CQ,7,9,CV
CR,9,3,
CS,15,0,
CT,6,8,
CU,8,3,AD
CV,9,2,
CW,8,7,
CY,9,9,BZ
